IPEDSID,NAME,LADDR,LADDR2,LCITY,LSTATE,LZIP,LZIP4,COUNTRY,PHONE,STFIPS,COFIPS,LAT,LON,SECTOR,LEVEL,INST_TYPE,NAICS_CODE,NAICS_DESC,HI_OFFER,DEG_GRANT,LOCALE,STATUS,CLOSE_DATE,MERGE_ID,ALIAS,SIZE_SET,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,FTE,NCES_URL,SCHOOL_URL,SHELTER_ID,LAST_UPDAT
366748,Argosy University-Hawaii,"400 ASB Tower, 1001 Bishop Street",,Honolulu,HI,96813,,US,8085365555,15,15003,21.30802600000,-157.86091600000,3,1,3,611310,"Colleges, Universities, and Professional Schools",10,1,11,A,-2,-2,,6,1,142,315,457,2,0,39,http://nces.ed.gov/GLOBALLOCATOR/,www.argosy.edu/hawaii/,,2010/01/15
372958,Remington College-Honolulu Campus,1111 Bishop St Ste 400,,Honolulu,HI,96813,2811,US,8089421000,15,15003,21.30927284200,-157.86002262400,3,1,3,611310,"Colleges, Universities, and Professional Schools",30,1,11,A,-2,-2,,6,1,0,501,501,2,0,72,http://nces.ed.gov/GLOBALLOCATOR/,WWW.REMINGTONCOLLEGE.EDU,,2010/09/01
223320,Coastal Bend College,3800 Charco Rd,,Beeville,TX,78102,,US,3613582838,48,48025,28.43575600000,-97.75632000000,4,2,1,611210,Junior Colleges,40,1,32,A,-2,-2,CBC,3,2,2026,1424,3450,1,178,324,http://nces.ed.gov/GLOBALLOCATOR/,www.coastalbend.edu,,2010/01/15
227836,San Antonio College of Medical and Dental Assistants-McAllen,1500 S. Jackson,,McAllen,TX,78503,1625,US,9566301499,48,48215,26.18610899600,-98.20706682700,9,3,3,611519,Other Technical and Trade Schools,0,2,12,A,-2,-2,,-3,2,0,1073,1073,2,0,69,http://nces.ed.gov/GLOBALLOCATOR/,www.sacmda.com,,2010/09/14
228200,South Texas Vo-Tech Institute,2419 E Haggar Ave,,Weslaco,TX,78596,,US,9569691564,48,48215,26.17155533400,-97.96522924800,9,3,3,611519,Other Technical and Trade Schools,0,2,21,A,-2,-2,,-3,1,194,72,266,2,0,74,http://nces.ed.gov/GLOBALLOCATOR/,www.stvt.edu,,2010/09/14
228219,South Texas Vocational Technical Institute-McAllen,2400 Daffodil Ave.,,McAllen,TX,78501,,US,9566311107,48,48215,26.23324200000,-98.24256600000,9,3,3,611519,Other Technical and Trade Schools,0,2,12,A,-2,-2,,-3,1,105,117,222,2,0,64,http://nces.ed.gov/GLOBALLOCATOR/,www.stvt.edu,,2010/01/15
408385,Southern Careers Institute Inc-South Texas,1414 N. Jackson Rd,,Pharr,TX,78577,,US,5124484795,48,48215,26.21121696400,-98.20103773300,9,3,3,611519,Other Technical and Trade Schools,0,2,13,A,-2,-2,,-3,1,0,251,251,2,0,17,http://nces.ed.gov/GLOBALLOCATOR/,www.scitexas.com,,2010/09/14
224147,Texas A & M University-Corpus Christi,6300 Ocean Dr.,,Corpus Christi,TX,78412,5503,US,3618255700,48,48355,27.71860100000,-97.33193300000,1,1,1,611310,"Colleges, Universities, and Professional Schools",10,1,11,A,-2,-2,,12,3,2923,6234,9157,1,1340,1246,http://nces.ed.gov/GLOBALLOCATOR/,www.tamucc.edu,,2010/01/15
224350,Del Mar College,101 Baldwin Blvd.,,Corpus Christi,TX,78404,3897,US,3616981255,48,48355,27.76742100000,-97.40758900000,4,2,1,611210,Junior Colleges,40,1,11,A,-2,-2,,4,4,7999,3395,11394,2,0,1084,http://nces.ed.gov/GLOBALLOCATOR/,www.delmar.edu,,2010/01/15
405076,Southern Careers Institute Inc-Corpus Christi,2422 Airline Road,,Corpus Christi,TX,78414,,US,5124484795,48,48355,27.68503954400,-97.36314546400,9,3,3,611519,Other Technical and Trade Schools,0,2,11,A,-2,-2,,-3,1,0,241,241,2,0,17,http://nces.ed.gov/GLOBALLOCATOR/,www.scitexas.com,,2010/09/14
226134,Laredo Community College,West End Washington St,,Laredo,TX,78040,4395,US,9567215394,48,48479,27.50647700000,-99.52077200000,4,2,1,611210,Junior Colleges,40,1,12,A,-2,-2,,4,3,5180,3016,8196,1,120,855,http://nces.ed.gov/GLOBALLOCATOR/,www.laredo.edu,,2010/01/15
420042,University of Phoenix-Hawaii Campus,827 Fort Street,,Honolulu,HI,96813,4317,US,8004835444,15,15003,21.30851000000,-157.86331500000,3,1,3,611310,"Colleges, Universities, and Professional Schools",20,1,11,A,-2,-2,,9,1,0,745,745,2,0,602,http://nces.ed.gov/GLOBALLOCATOR/,www.phoenix.edu,,2010/01/15
444626,Hawaii Technology Institute,629 Pohukaina St,,Honolulu,HI,96813,,US,8085272700,15,15003,21.30026468300,-157.86066798500,8,3,2,611519,Other Technical and Trade Schools,0,2,11,A,-2,-2,,-3,1,20,12,32,2,0,14,http://nces.ed.gov/GLOBALLOCATOR/,www.hti.edu,,2010/09/01
444699,Institute of Clinical Acupuncture & Oriental Med,"100 N. Beretania Street, Suite 203B",,Honolulu,HI,96817,,US,8085212288,15,15003,21.31392449000,-157.86087907400,3,1,3,611310,"Colleges, Universities, and Professional Schools",20,1,11,A,-2,-2,,-2,1,1,31,32,2,0,18,http://nces.ed.gov/GLOBALLOCATOR/,www.orientalmedicine.edu,,2010/09/01
445823,Golf Academy of America,46-001 Kamehameha Highway,,Kaneohe-Oahu,HI,96744,,US,8003427342,15,15003,21.41886488200,-157.80208602700,6,2,3,611210,Junior Colleges,40,1,22,M,12/18/2008,-2,,-3,1,0,8,8,2,0,12,http://nces.ed.gov/GLOBALLOCATOR/,www.golfacademy.edu,,2010/09/01
449579,Traditional Chinese Medical College of Hawaii,65-1206 Mamalahoa Hwy Bldg 3,,Kamuela,HI,96743,,US,8088859226,15,15001,20.01772015800,-155.65978053900,2,1,2,611310,"Colleges, Universities, and Professional Schools",20,1,42,A,-2,-2,TCMCH,-3,1,2,30,32,2,0,19,http://nces.ed.gov/GLOBALLOCATOR/,www.tcmch.edu,,2010/09/01
102614,University of Alaska Fairbanks,Signers' Hall,,Fairbanks,AK,99775,7480,US,9074747211,02,02090,64.85557300000,-147.82592100000,1,1,1,611310,"Colleges, Universities, and Professional Schools",10,1,23,A,-2,-2,,13,3,4555,4019,8574,1,1467,2961,http://nces.ed.gov/GLOBALLOCATOR/,www.uaf.edu,,2010/01/15
434584,Ilisagvik College,Narl Facility,,Barrow,AK,99723,,US,9078523333,02,02185,71.32470200000,-156.67948600000,4,2,1,611210,Junior Colleges,40,1,43,A,-2,-2,,1,1,300,30,330,1,40,149,http://nces.ed.gov/GLOBALLOCATOR/,www.ilisagvik.cc,,2010/01/15
443827,Career Centers of Texas-Brownsville,1900 North Expressway,,Brownsville,TX,78521,,US,9565478200,48,48061,25.94313200000,-97.50225300000,9,3,3,611519,Other Technical and Trade Schools,0,2,12,A,-2,-2,,-3,1,0,704,704,2,0,54,http://nces.ed.gov/GLOBALLOCATOR/,,,2010/01/15
437608,Advanced Barber College and Hair Design,2818 S International,,Weslaco,TX,78596,,US,9569690341,48,48215,26.13154273200,-97.95824745000,9,3,3,611511,Cosmetology and Barber Schools,0,2,21,A,-2,-2,,-3,1,0,65,65,2,0,8,http://nces.ed.gov/GLOBALLOCATOR/,,,2010/09/14
443322,Valley Grande Institute for Academic Studies,345 S. Texas Blvd.,,Weslaco,TX,78596,,US,9569731945,48,48215,26.15825590800,-97.99039124600,8,3,2,611519,Other Technical and Trade Schools,0,2,21,A,-2,-2,,-3,1,0,397,397,2,0,44,http://nces.ed.gov/GLOBALLOCATOR/,www.valleygrandeinstitute.com,,2010/09/14
443836,Career Centers of Texas-Corpus Christi,1620 S. Padre Island Drive,,Corpus Christ,TX,78416,,US,3618522900,48,48355,27.74330654200,-97.43961601400,9,3,3,611519,Other Technical and Trade Schools,0,2,11,A,-2,-2,,-3,1,0,823,823,2,0,53,http://nces.ed.gov/GLOBALLOCATOR/,,,2010/09/14
440332,Texas Careers-Laredo,6410 McPherson,,Laredo,TX,78041,,US,9567175909,48,48479,27.56158829000,-99.47447541600,9,3,3,611519,Other Technical and Trade Schools,0,2,41,A,-2,-2,,-3,1,0,337,337,2,0,35,http://nces.ed.gov/GLOBALLOCATOR/,www.texascareers.com,,2010/09/14
444273,Southern Careers Institute Inc-Laredo,4805 Maher,,Laredo,TX,78041,,US,5124484795,48,48479,27.53953351500,-99.46984126000,9,3,3,611519,Other Technical and Trade Schools,0,2,12,M,11/01/2008,-2,,-3,1,0,8,8,2,0,13,http://nces.ed.gov/GLOBALLOCATOR/,www.scitexas.com,,2010/09/14
430403,Prism Career Institute,8025 Black Horse Pike Bayport One Suite 250,,West  Atlantic City,NJ,08232,,US,6094077476,34,34001,39.37728834000,-74.49311240000,9,3,3,611519,Other Technical and Trade Schools,0,2,41,A,-2,-2,,-3,1,29,51,80,2,0,18,http://nces.ed.gov/GLOBALLOCATOR/,prismcareerinstitute.com,,2010/08/23
230047,Brigham Young University-Hawaii,55-220 Kulanui Street,,Laie,HI,96762,1294,US,8086753211,15,15003,21.64117178900,-157.92535818600,2,1,2,611310,"Colleges, Universities, and Professional Schools",30,1,31,A,-2,-2,BYUH |BYUHC |BYU Hawaii |BYU Hawaii Campus |Brigham Young University Hawaii |Brigham Young University Hawaii Campus |BYU-H |BYU-HC |BYU-Hawaii |BYU-Hawaii Campus |Brigham Young University Hawaii Campus |BYU - H |BYU - HC |BYU - Hawaii |BYU - Hawaii Campu,11,2,255,2169,2424,1,1635,551,http://nces.ed.gov/GLOBALLOCATOR/,www.byuh.edu,,2010/01/15
141565,University of Hawaii at Hilo,200 W Kawili St,,Hilo,HI,96720,4091,US,8008974456,15,15001,19.70185414000,-155.08132860300,1,1,1,611310,"Colleges, Universities, and Professional Schools",11,1,33,A,-2,-2,UHH |UH at Hilo,10,2,789,2984,3773,1,620,598,http://nces.ed.gov/GLOBALLOCATOR/,www.uhh.hawaii.edu/,,2010/01/15
383190,Hawaii Community College,1175 Manono St,,Hilo,HI,96720,4091,US,8089747611,15,15001,19.70449750200,-155.06909556400,4,2,1,611210,Junior Colleges,40,1,33,A,-2,-2,HCC |Hawaii CC,2,2,1553,1331,2884,2,0,259,http://nces.ed.gov/GLOBALLOCATOR/,www.hawaii.hawaii.edu,,2010/01/15
141802,Kauai Community College,3-1901 Kaumualii Hwy,,Lihue,HI,96766,9591,US,8082458311,15,15007,21.96950851900,-159.39596578900,4,2,1,611210,Junior Colleges,40,1,41,A,-2,-2,KCC |Kauai CC,2,2,661,443,1104,2,0,171,http://nces.ed.gov/GLOBALLOCATOR/,www.kauai.hawaii.edu,,2010/01/15
103501,Career Academy,1415 E Tudor Road,,Anchorage,AK,99507,1033,US,9075637575,02,02020,61.18144327400,-149.85695363900,9,3,3,611519,Other Technical and Trade Schools,0,2,11,A,-2,-2,,-3,1,0,297,297,2,0,41,http://nces.ed.gov/GLOBALLOCATOR/,www.careeracademy.edu,,2010/01/15
102845,Charter College,2221 E Northern Lights Blvd Ste 120,,Anchorage,AK,99508,,US,9072771000,02,02020,61.19578606800,-149.84017765600,3,1,3,611310,"Colleges, Universities, and Professional Schools",30,1,11,A,-2,-2,,6,1,522,248,770,2,0,76,http://nces.ed.gov/GLOBALLOCATOR/,www.chartercollege.edu,,2010/01/15
102553,University of Alaska Anchorage,3211 Providence Drive,,Anchorage,AK,99508,,US,9077861800,02,02020,61.18955412200,-149.82613488800,1,1,1,611310,"Colleges, Universities, and Professional Schools",20,1,11,A,-2,-2,,15,4,9275,7374,16649,1,956,2448,http://nces.ed.gov/GLOBALLOCATOR/,www.uaa.alaska.edu,10822636,2010/01/15
102669,Alaska Pacific University,4101 University Dr,,Anchorage,AK,99508,,US,9075611266,02,02020,61.19123518300,-149.80424188300,2,1,2,611310,"Colleges, Universities, and Professional Schools",20,1,11,A,-2,-2,,6,1,332,463,795,1,170,173,http://nces.ed.gov/GLOBALLOCATOR/,www.alaskapacific.edu,,2010/01/15
103529,University of Alaska System of Higher Education,910 Yukon Drive,,Fairbanks,AK,99775,5000,US,9074508000,02,02090,64.85862625100,-147.82862959400,0,1,1,611310,"Colleges, Universities, and Professional Schools",10,1,23,A,-2,-2,,-3,-2,0,0,0,-2,0,257,http://nces.ed.gov/GLOBALLOCATOR/,www.alaska.edu/,,2010/01/15
102711,Alaska Vocational Technical Center,809 Second Avenue,,Seward,AK,99664,0889,US,9072243322,02,02122,60.11072727300,-149.44457272700,7,3,1,611519,Other Technical and Trade Schools,0,2,43,A,-2,-2,AVTEC,-3,1,251,214,465,1,171,81,http://nces.ed.gov/GLOBALLOCATOR/,www.avtec.edu,,2010/01/15
103361,Prince William Sound Community College,303 Lowe Street,,Valdez,AK,99686,,US,9078341600,02,02261,61.12236354000,-146.17799007800,4,2,1,611210,Junior Colleges,40,1,43,A,-2,-2,,1,1,800,70,870,1,45,70,http://nces.ed.gov/GLOBALLOCATOR/,www.pwscc.edu.,,2010/01/15
102632,University of Alaska Southeast,11120 Glacier Highway,,Juneau,AK,99801,8697,US,8774654827,02,02110,58.38427011900,-134.63634633400,1,1,1,611310,"Colleges, Universities, and Professional Schools",20,1,33,A,-2,-2,,10,2,2185,769,2954,1,280,464,http://nces.ed.gov/GLOBALLOCATOR/,www.uas.alaska.edu,,2010/01/15
377281,SW School of Business and Technical Careers,272 Commerical St,,Eagle Pass,TX,78852,4859,US,8307731373,48,48323,28.70786363600,-100.50600909100,9,3,3,611410,Business and Secretarial Schools,0,2,33,A,-2,-2,,-3,1,0,39,39,2,0,10,http://nces.ed.gov/GLOBALLOCATOR/,,,2010/01/15
229072,Texas Southmost College,80 Fort Brown,,Brownsville,TX,78520,,US,9568828200,48,48061,25.89847444600,-97.49208903000,4,2,1,611210,Junior Colleges,40,1,12,A,-2,-2,,0,4,0,0,0,1,234,0,http://nces.ed.gov/GLOBALLOCATOR/,www.utb.edu,,2010/01/15
407683,University of Cosmetology Arts and Sciences,913 N 13th St,,Harlingen,TX,78550,5034,US,9564121212,48,48061,26.20112709600,-97.68399904600,9,3,3,611511,Cosmetology and Barber Schools,0,2,13,A,-2,-2,,-3,1,63,59,122,2,0,13,http://nces.ed.gov/GLOBALLOCATOR/,,,2010/01/15
229319,Texas State Technical College Harlingen,1902 North Loop 499,,Harlingen,TX,78550,3697,US,9563644000,48,48061,26.21933303600,-97.66634778900,4,2,1,611210,Junior Colleges,40,1,13,A,-2,-2,,3,3,3518,1959,5477,1,927,624,http://nces.ed.gov/GLOBALLOCATOR/,www.harlingen.tstc.edu,,2010/01/15
227377,The University of Texas at Brownsville,80 Fort Brown,,Brownsville,TX,78520,4991,US,9568828200,48,48061,25.89972399900,-97.49159849600,1,1,1,611310,"Colleges, Universities, and Professional Schools",10,1,12,A,-2,-2,,12,3,11516,5793,17309,1,234,2174,http://nces.ed.gov/GLOBALLOCATOR/,WWW.UTB.EDU,,2010/01/15
409315,South Texas College,3201 W Pecan,,McAllen,TX,78502,9701,US,9568728311,48,48215,26.21756228100,-98.25381529300,1,1,1,611310,"Colleges, Universities, and Professional Schools",30,1,12,A,-2,-2,South Texas Community College (prior to Level II accreditation),5,5,15006,7060,22066,2,0,1426,http://nces.ed.gov/GLOBALLOCATOR/,www.southtexascollege.edu,,2010/01/15
229425,University of Cosmetology Arts and Sciences,8401 N 10th St,,McAllen,TX,78504,,US,9566879444,48,48215,26.26887272700,-98.21959370900,9,3,3,611511,Cosmetology and Barber Schools,0,2,12,A,-2,-2,,-3,1,177,138,315,2,0,32,http://nces.ed.gov/GLOBALLOCATOR/,,,2010/01/15
227368,The University of Texas-Pan American,1201 W University Dr,,Edinburg,TX,78539,2999,US,9563812011,48,48215,26.30662864300,-98.17211217900,1,1,1,611310,"Colleges, Universities, and Professional Schools",10,1,13,A,-2,-2,UT-Pan American | UT Pan Am | UTPA | University of Texas-Pan American | Pan American | Pan Am |,15,4,5580,12004,17584,1,988,2153,http://nces.ed.gov/GLOBALLOCATOR/,www.utpa.edu,,2010/01/15
228705,Texas A & M University-Kingsville,955 University Blvd,,Kingsville,TX,78363,,US,3615932111,48,48273,27.52485248800,-97.88234243200,1,1,1,611310,"Colleges, Universities, and Professional Schools",10,1,32,A,-2,-2,TAMUK |Texas A&I University,13,3,2441,4637,7078,1,1000,941,http://nces.ed.gov/GLOBALLOCATOR/,WWW.TAMUK.EDU,,2010/01/15
228185,South Texas Barber College Inc,3917 Ayers,,Corpus Christi,TX,78415,,US,3618550262,48,48355,27.75290408300,-97.41706970100,9,3,3,611511,Cosmetology and Barber Schools,0,2,11,A,-2,-2,,-3,1,2,44,46,2,0,5,http://nces.ed.gov/GLOBALLOCATOR/,,,2010/01/15
226125,Laredo Beauty College Inc,3020 N Meadow Ave,,Laredo,TX,78040,,US,9567232059,48,48479,27.52377831200,-99.47578558500,9,3,3,611511,Cosmetology and Barber Schools,0,2,12,A,-2,-2,,-3,1,0,165,165,2,0,12,http://nces.ed.gov/GLOBALLOCATOR/,,,2010/01/15
226152,Texas A & M International University,5201 University Blvd,,Laredo,TX,78041,1900,US,9563262001,48,48479,27.57350389100,-99.43522522800,1,1,1,611310,"Colleges, Universities, and Professional Schools",10,1,41,A,-2,-2,,12,3,2675,3184,5859,1,686,565,http://nces.ed.gov/GLOBALLOCATOR/,TAMIU.EDU,,2010/01/15
141990,Windward Community College,45-720 Keaahala Rd,,Kaneohe,HI,96744,3598,US,8082357400,15,15003,21.40922030200,-157.81321250000,4,2,1,611210,Junior Colleges,40,1,22,A,-2,-2,WCC |Windward CC,2,2,1216,743,1959,2,0,189,http://nces.ed.gov/GLOBALLOCATOR/,windward.hawaii.edu/,,2010/01/15
141680,Honolulu Community College,874 Dillingham Blvd,,Honolulu,HI,96817,4598,US,8088459129,15,15003,21.31994644500,-157.87488000000,4,2,1,611210,Junior Colleges,40,1,11,A,-2,-2,HCC |Honolulu CC,3,2,2737,1481,4218,2,0,380,http://nces.ed.gov/GLOBALLOCATOR/,www.honolulu.hawaii.edu,,2010/01/15
141608,Hawaii Institute of Hair Design,1128 Nuuanu Avenue,,Honolulu,HI,96817,5195,US,8085336596,15,15003,21.31350450000,-157.86195800000,9,3,3,611511,Cosmetology and Barber Schools,0,2,11,A,-2,-2,,-3,1,0,45,45,2,0,8,http://nces.ed.gov/GLOBALLOCATOR/,www.hihdhawaii.net,,2010/01/15
141644,Hawaii Pacific University,"1164 Bishop St., Suite 216",,Honolulu,HI,96813,,US,8085440200,15,15003,21.31041005300,-157.85951274600,2,1,2,611310,"Colleges, Universities, and Professional Schools",20,1,11,A,-2,-2,,12,3,3662,4631,8293,1,211,1531,http://nces.ed.gov/GLOBALLOCATOR/,www.hpu.edu,,2010/01/15
141574,University of Hawaii at Manoa,"2500 Campus Road, Hawaii Hall",,Honolulu,HI,96822,2301,US,8089567651,15,15003,21.29264818300,-157.81660650000,1,1,1,611310,"Colleges, Universities, and Professional Schools",11,1,11,A,-2,-2,UHM |UH at Manoa,15,5,5843,14326,20169,1,3621,5122,http://nces.ed.gov/GLOBALLOCATOR/,www.manoa.hawaii.edu,,2010/01/15
141796,Kapiolani Community College,4303 Diamond Head Rd,,Honolulu,HI,96816,4496,US,8087349000,15,15003,21.27135657800,-157.80041288800,4,2,1,611210,Junior Colleges,40,1,11,A,-2,-2,KCC |Kapiolani CC,3,3,5300,2921,8221,2,0,529,http://nces.ed.gov/GLOBALLOCATOR/,kapiolani.hawaii.edu/page/home,,2010/01/15
141486,Chaminade University of Honolulu,3140 Waialae Avenue,,Honolulu,HI,96816,1578,US,8087354711,15,15003,21.29027382200,-157.80764200000,2,1,2,611310,"Colleges, Universities, and Professional Schools",20,1,11,A,-2,-2,,10,2,915,1690,2605,1,397,420,http://nces.ed.gov/GLOBALLOCATOR/,www.chaminade.edu,,2010/01/15
240736,American Samoa Community College,,,Pago Pago,AS,96799,2609,AS,6846999155412,60,60010,-14.00000000000,-170.74290400000,1,1,1,611310,"Colleges, Universities, and Professional Schools",30,1,-3,A,-2,-2,ASCC,2,2,940,886,1826,2,0,302,http://nces.ed.gov/GLOBALLOCATOR/,www.amsamoa.edu,,2010/01/15
240745,Guam Community College,Sesame Street,,Mangilao,GU,96913,,GU,6717355500,66,66010,13.44064900000,144.80894400000,4,2,1,611210,Junior Colleges,40,1,-3,A,-2,-2,GCC,2,2,1097,625,1722,2,0,261,http://nces.ed.gov/GLOBALLOCATOR/,www.guamcc.edu,,2010/01/15
240754,University of Guam,303 J.U. Torres Drive,,Mangilao,GU,96923,,GU,6717352990,66,66010,13.43272600000,144.80283700000,1,1,1,611310,"Colleges, Universities, and Professional Schools",20,1,-3,A,-2,-2,UOG,9,2,984,2309,3293,1,196,766,http://nces.ed.gov/GLOBALLOCATOR/,www.uog.edu,,2010/01/15
240790,Northern Marianas College,As Terlaje Campus,,Saipan,MP,96950,1250,MP,67023454981001,69,69110,15.15224656700,145.72173283200,1,1,1,611310,"Colleges, Universities, and Professional Schools",30,1,-3,A,-2,-2,,6,1,219,566,785,2,0,183,http://nces.ed.gov/GLOBALLOCATOR/,www.nmcnet.edu/,,2010/12/08
243638,College of Micronesia-FSM,Kolonia,,Pohnpei,FM,96941,,FM,6913202480,64,64040,6.95525007000,158.20923136000,4,2,1,611210,Junior Colleges,40,1,-3,A,-2,-2,COM-FSM|COMFSM|COM-FSM National|Sharks|COM-FSM Palikir,2,2,593,1866,2459,1,219,373,http://nces.ed.gov/GLOBALLOCATOR/,www.comfsm.fm,,2010/12/08
243647,Palau Community College,Medalaii,,Koror,PW,96940,,PW,6804882471,70,70150,7.34291300000,134.47404300000,4,2,1,611210,Junior Colleges,40,1,-3,A,-2,-2,,2,1,180,371,551,1,122,153,http://nces.ed.gov/GLOBALLOCATOR/,www.palau.edu,,2010/01/15
376695,College of the Marshall Islands,,,Majuro,MH,96960,,MH,6926253394236,68,68190,7.10274000000,171.37844200000,4,2,1,611210,Junior Colleges,40,1,-3,A,-2,-2,,2,1,301,388,689,1,74,150,http://nces.ed.gov/GLOBALLOCATOR/,www.cmiedu.net,,2010/01/15
439862,Pacific Islands Bible College,172 Kinney's Road,,Mangilao,GU,96913,,GU,6717341812,66,66010,13.43689000000,144.80336800000,2,1,2,611310,"Colleges, Universities, and Professional Schools",30,1,-3,A,-2,-2,,-2,1,2,104,106,2,0,9,http://nces.ed.gov/GLOBALLOCATOR/,www.PIBC.edu,,2010/01/15
203049,Hebrew Union College-Jewish Institute of Religion,3077 University Ave,,Los Angeles,CA,90007,3796,US,21374934244207,06,06037,34.02564196000,-118.28302690100,2,1,2,611310,"Colleges, Universities, and Professional Schools",11,1,11,A,-2,-2,,-2,1,4,95,99,2,0,70,http://nces.ed.gov/GLOBALLOCATOR/,www.huc.edu,,2010/09/07
182005,College of Southern Nevada,6375 W. Charleston Blvd.,,Las Vegas,NV,89146,1164,US,7026515000,32,32003,36.15844274300,-115.23378408700,1,1,1,611310,"Colleges, Universities, and Professional Schools",30,1,11,A,-2,-2,,5,5,19098,7937,27035,2,0,2523,http://nces.ed.gov/GLOBALLOCATOR/,www.csn.edu,,2010/08/27
182111,The Art Institute of Las Vegas,2350 Corporate Circle,,Henderson,NV,89074,7737,US,7023699944,32,32003,36.02576800000,-115.08826900000,3,1,3,611310,"Colleges, Universities, and Professional Schools",30,1,21,A,-2,-2,,-2,2,160,1050,1210,1,200,168,http://nces.ed.gov/GLOBALLOCATOR/,www.ailv.artinstitutes.edu,,2010/01/15
182209,Marinello School of Beauty,5001 East Bonanza Ste 110,,Las Vegas,NV,89110,,US,7024316200,32,32003,36.17394900000,-115.06445500000,9,3,3,611511,Cosmetology and Barber Schools,0,2,11,A,-2,-2,,-3,1,96,239,335,2,0,27,http://nces.ed.gov/GLOBALLOCATOR/,www.marinello.com,,2010/01/15
